train_loss_step,train_is_next_axx_step,train_altered_acc_step,epoch,step,val_loss_step,val_is_next_axx_step,val_altered_acc_step,val_loss_epoch,val_is_next_axx_epoch,val_altered_acc_epoch,train_loss_epoch,train_is_next_axx_epoch,train_altered_acc_epoch,test_loss_step,test_is_next_axx_step,test_altered_acc_step,test_loss_epoch,test_is_next_axx_epoch,test_altered_acc_epoch
,,,,316,1.28925359249115,50.0,65.1611328125,,,,,,,,,,,,
,,,,317,0.909494936466217,75.0,75.439453125,,,,,,,,,,,,
,,,,318,1.361356258392334,37.5,69.5556640625,,,,,,,,,,,,
,,,,319,1.2000911235809326,50.0,62.4755859375,,,,,,,,,,,,
,,,,320,1.192049503326416,50.0,75.0244140625,,,,,,,,,,,,
,,,,321,1.1508495807647705,62.5,57.4951171875,,,,,,,,,,,,
,,,,322,1.3488919734954834,50.0,57.3974609375,,,,,,,,,,,,
,,,,323,1.3934500217437744,50.0,57.32421875,,,,,,,,,,,,
,,,,324,1.2312670946121216,50.0,58.642578125,,,,,,,,,,,,
,,,,325,1.3785643577575684,37.5,58.8134765625,,,,,,,,,,,,
,,,,326,0.9221714735031128,75.0,59.66796875,,,,,,,,,,,,
,,,,327,1.3545665740966797,37.5,71.1181640625,,,,,,,,,,,,
,,,,328,1.360344409942627,37.5,67.236328125,,,,,,,,,,,,
,,,,329,1.3985247611999512,37.5,57.177734375,,,,,,,,,,,,
